id,questionId,answerText,isCorrect,sortOrder
111,19,"The collection area supervisor",false,3
113,22,"In the designated SDS books and written program location",true,1
114,22,"In the manager's office only",false,2
115,22,"Online at the company website",false,3
116,22,"Posted on the break room wall",false,4
117,23,"Danger and Warning",true,1
118,23,"Caution and Danger",false,2
119,23,"Warning and Caution",false,3
120,23,"Hazard and Danger",false,4
121,24,"In a fire safe cabinet",true,1
122,24,"On regular shelves",false,2
123,24,"In the refrigerator",false,3
124,24,"Next to the workstation",false,4
125,25,"65°F - 75°F",true,1
126,25,"32°F - 50°F",false,2
127,25,"75°F - 85°F",false,3
128,25,"Room temperature",false,4
130,26,"Pour it down the drain",false,2
131,26,"Fill out a disposal form and give to Production Manager",false,3
132,26,"Store it for future use",false,4
134,27,"Just throw it in the dumpster",false,2
135,27,"Allow it to evaporate first",false,3
136,27,"Store it in the fire safe cabinet",false,4
137,28,"First In, First Out - use oldest items before they expire",true,1
138,28,"Fast In, Fast Out - work quickly",false,2
139,28,"Find It, Fix It, Organize - workplace organization",false,3
140,28,"Final Inspection, First Operation - production flow",false,4
141,29,"Acute illnesses develop suddenly and last a short time; chronic illnesses develop slowly over months to years",true,1
142,29,"Acute illnesses are always fatal; chronic illnesses are not",false,2
143,29,"Acute illnesses are from chemicals; chronic illnesses are from physical injuries",false,3
144,29,"Acute illnesses last months; chronic illnesses last days",false,4
145,30,"Correct the employee or immediately notify the department leader or Safety Team",true,1
146,30,"Ignore it to avoid conflict",false,2
147,30,"Wait until the end of the shift to report it",false,3
148,30,"Only report it if someone gets injured",false,4
149,31,"In the freezer at -1°F to 23°F",true,1
150,31,"In the refrigerator at 65°F - 75°F",false,2
151,31,"In a fire safe cabinet",false,3
152,31,"At room temperature",false,4
153,32,"Epoxy resins, hardeners, and solvents like acetone",true,1
154,32,"Steel and aluminum",false,2
155,32,"Water and soap",false,3
156,32,"Sand and gravel",false,4
157,33,"In flammable safety cabinets with proper labels",true,1
158,33,"Under the workbench",false,2
159,33,"In the break room",false,3
58,16,"Clean the entire facility",false,2
59,16,"Package all parts immediately",false,3
60,16,"Remove all hardware from the area",false,4
61,17,"Placed in collection area and leaders submit waste management form",false,1
62,17,"They can be used if they look okay",false,2
63,17,"Employees dispose of them directly",false,3
64,17,"They are stored separately for future use",false,4
65,18,"Package or segregate parts to prevent damage, contamination, or loss of traceability",false,1
66,18,"Leave parts on the work surface for inspection",false,2
67,18,"Only clean visible debris",false,3
68,18,"Move parts to any available location",false,4
81,15,"An expiration date",false,1
82,15,"Only the purchase date",false,2
83,15,"The manufacturer name only",false,3
84,15,"No marking is required",false,4
85,20,"To prevent damage from dirt or chemicals",false,1
86,20,"To make the area look presentable",false,2
87,20,"Only to remove large debris",false,3
88,20,"Cleaning is optional if careful",false,4
93,12,"Ensure components are not expired or out-of-date",false,1
94,12,"Check the color and appearance",false,2
95,12,"Verify the supplier name only",false,3
96,12,"Check the weight only",false,4
98,13,"Only check if it looks damaged",false,2
99,13,"Materials never need shelf life checks",false,3
100,13,"Only check once per year",false,4
101,14,"Clear the work area of any extra material and hardware that could be accidentally used",false,1
102,14,"Add extra materials for convenience",false,2
103,14,"Only remove broken items",false,3
104,14,"Leave materials if they might be needed",false,4
105,21,"Check for any unnecessary debris such as poly, shavings, bolts, nuts, etc. and remove any debris",false,1
106,21,"Only check for large visible defects",false,2
107,21,"Visual inspection is sufficient",false,3
108,21,"No inspection needed if work area was clean",false,4
160,33,"Outside in the sun",false,4
110,19,"The employee who found them",false,2
163,34,"Throw them in the regular trash",false,3
164,34,"Store them in a plastic bag",false,4
165,35,"Pull the pin",true,1
166,35,"Point at the fire",false,2
167,35,"Push the button",false,3
168,35,"Pump the handle",false,4
