id,moduleId,question,questionType,correctAnswer,explanation,sortOrder,isActive
17,2,"What happens to expired materials according to the preservation procedure?","multiple_choice","Placed in collection area and leaders submit waste management form","",6,true
15,2,"According to the preservation procedure, what should items with a shelf life have listed?","multiple_choice","An expiration date","",4,true
20,2,"According to step 3 of the FOD procedure, why should you clean the work area?","multiple_choice","To prevent damage from dirt or chemicals","",9,true
12,2,"According to step 1 of the Preservation procedure, what must you ensure before using components?","multiple_choice","Ensure components are not expired or out-of-date","",1,true
13,2,"According to step 2 of the Preservation procedure, what should be checked for any material with a shelf life?","multiple_choice","Any material with a shelf life should be checked","",2,true
14,2,"According to step 2 of the FOD procedure, what should you do to clear the work area?","multiple_choice","Clear the work area of any extra material and hardware that could be accidentally used","",3,true
21,2,"According to step 4 of the FOD procedure, what should you check parts for when complete?","multiple_choice","Check for any unnecessary debris such as poly, shavings, bolts, nuts, etc. and remove any debris","",10,true
19,2,"According to step 5 of the Preservation procedure, who determines the disposal of expired items?","multiple_choice","Management","",8,true
22,3,"Where can you find Safety Data Sheets (SDS) and the Hazard Communication Program?","multiple_choice","In the designated SDS books and written program location","Employees must know where to find Safety Data Sheets and the Hazard Communication Program for reference",1,true
23,3,"What are the only two signal words used on chemical labels?","multiple_choice","Danger and Warning","Only two signal words are used: ""Danger"" for more severe hazards and ""Warning"" for less severe hazards",2,true
24,3,"Where should flammable products be stored?","multiple_choice","In a fire safe cabinet","Flammable products must be stored in fire safe cabinets for safety",3,true
25,3,"What temperature range should temperature-sensitive products be stored at?","multiple_choice","65°F - 75°F","Temperature sensitive products require refrigerated storage between 65°F and 75°F",4,true
26,3,"In the Plugging department, what should you do with leftover acetone?","multiple_choice","Allow it to evaporate and place the empty container in the dumpster","Acetone should be allowed to evaporate completely before disposing of the empty container",5,true
28,3,"What does ""FIFO"" mean in chemical handling?","multiple_choice","First In, First Out - use oldest items before they expire","FIFO means using chemicals based on manufacture date, oldest first, to prevent expiration",7,true
29,3,"What is the difference between acute and chronic illnesses?","multiple_choice","Acute illnesses develop suddenly and last a short time; chronic illnesses develop slowly over months to years","Acute illnesses are sudden and short-lived, while chronic illnesses develop and worsen over extended periods",8,true
30,3,"What should you do if you see another employee not following chemical handling procedures?","multiple_choice","Correct the employee or immediately notify the department leader or Safety Team","Employee safety is paramount; correcting procedures keeps everyone safe, not to get anyone in trouble",9,true
31,3,"Where should raw carbon fiber be stored?","multiple_choice","In the freezer at -1°F to 23°F","Raw carbon fiber requires freezer storage at -1°F to 23°F to maintain quality",10,true
32,4,"Which of the following is a flammable material commonly found in composite manufacturing?","multiple_choice","Epoxy resins, hardeners, and solvents like acetone","Epoxy resins, hardeners, and solvents are highly flammable and commonly used in composite manufacturing",1,true
33,4,"Where should chemicals be stored to prevent fire hazards?","multiple_choice","In flammable safety cabinets with proper labels","Chemicals must be stored in designated flammable safety cabinets and properly labeled",2,true
34,4,"What should you do with solvent-soaked rags?","multiple_choice","Dispose of them in approved fire-safe containers","Solvent-soaked rags can spontaneously combust and must be placed in fire-safe disposal containers",3,true
35,4,"What does the ""P"" in the PASS method stand for?","multiple_choice","Pull the pin","PASS stands for: Pull the pin, Aim at the base, Squeeze the handle, Sweep side to side",4,true
36,4,"What are the first two steps when you discover a fire?","multiple_choice","Activate the nearest fire alarm and notify supervisor/dial 911","Immediately raise the alarm by activating the pull station and notifying supervisor and emergency services",5,true
37,4,"Which type of fire extinguisher should be used for flammable liquids like resins, solvents, and paints?","multiple_choice","Class B","Class B extinguishers are designed for flammable liquid fires including resins, solvents, and paints",6,true
38,4,"When is it appropriate to fight a fire with an extinguisher?","multiple_choice","Only small incipient fires if you are trained and it is safe to do so","Never attempt to fight large or spreading fires - only small beginning fires if trained and safe",7,true
39,4,"What is a key housekeeping practice to prevent fires?","multiple_choice","Keep exits, walkways, and fire extinguishers clear at all times","Clear access to exits and fire safety equipment is critical for fire prevention and emergency response",8,true
40,4,"Carbon fiber and fiberglass dust are:","multiple_choice","Highly combustible and must be regularly cleaned with explosion-proof vacuums","These dusts are highly combustible and require regular cleaning with proper equipment",9,true
41,4,"When should you re-enter the building after a fire evacuation?","multiple_choice","Only after cleared by Fire Department or Safety Officer","Never re-enter until officially cleared by Fire Department or designated Safety Officer",10,true
16,2,"What should you do FIRST before starting a job according to the FOD procedure?","multiple_choice","Check for any special cleanliness requirements","",5,true
44,5,"Who is considered a ""U.S. Person"" under ITAR?","multiple_choice","U.S. citizens, permanent residents, asylees, and refugees","Only U.S. persons may access ITAR-controlled data without special authorization",3,true
