id,module_id,question,question_type,correct_answer,explanation,sort_order,is_active,created_at
17,2,What happens to expired materials according to the preservation procedure?,multiple_choice,Placed in collection area and leaders submit waste management form,,6,t,2025-10-01 20:05:13.721838
15,2,"According to the preservation procedure, what should items with a shelf life have listed?",multiple_choice,An expiration date,,4,t,2025-10-01 20:05:13.108737
20,2,"According to step 3 of the FOD procedure, why should you clean the work area?",multiple_choice,To prevent damage from dirt or chemicals,,9,t,2025-10-01 20:05:14.65637
12,2,"According to step 1 of the Preservation procedure, what must you ensure before using components?",multiple_choice,Ensure components are not expired or out-of-date,,1,t,2025-10-01 20:05:12.038218
13,2,"According to step 2 of the Preservation procedure, what should be checked for any material with a shelf life?",multiple_choice,Any material with a shelf life should be checked,,2,t,2025-10-01 20:05:12.491309
14,2,"According to step 2 of the FOD procedure, what should you do to clear the work area?",multiple_choice,Clear the work area of any extra material and hardware that could be accidentally used,,3,t,2025-10-01 20:05:12.800259
21,2,"According to step 4 of the FOD procedure, what should you check parts for when complete?",multiple_choice,"Check for any unnecessary debris such as poly, shavings, bolts, nuts, etc. and remove any debris",,10,t,2025-10-01 20:05:14.956075
19,2,"According to step 5 of the Preservation procedure, who determines the disposal of expired items?",multiple_choice,Management,,8,t,2025-10-01 20:05:14.351711
22,3,Where can you find Safety Data Sheets (SDS) and the Hazard Communication Program?,multiple_choice,In the designated SDS books and written program location,Employees must know where to find Safety Data Sheets and the Hazard Communication Program for reference,1,t,2025-10-01 20:51:55.013082
23,3,What are the only two signal words used on chemical labels?,multiple_choice,Danger and Warning,"Only two signal words are used: ""Danger"" for more severe hazards and ""Warning"" for less severe hazards",2,t,2025-10-01 20:51:55.013082
24,3,Where should flammable products be stored?,multiple_choice,In a fire safe cabinet,Flammable products must be stored in fire safe cabinets for safety,3,t,2025-10-01 20:51:55.013082
25,3,What temperature range should temperature-sensitive products be stored at?,multiple_choice,65°F - 75°F,Temperature sensitive products require refrigerated storage between 65°F and 75°F,4,t,2025-10-01 20:51:55.013082
26,3,"In the Plugging department, what should you do with leftover acetone?",multiple_choice,Allow it to evaporate and place the empty container in the dumpster,Acetone should be allowed to evaporate completely before disposing of the empty container,5,t,2025-10-01 20:51:55.013082
28,3,"What does ""FIFO"" mean in chemical handling?",multiple_choice,"First In, First Out - use oldest items before they expire","FIFO means using chemicals based on manufacture date, oldest first, to prevent expiration",7,t,2025-10-01 20:51:55.013082
29,3,What is the difference between acute and chronic illnesses?,multiple_choice,Acute illnesses develop suddenly and last a short time; chronic illnesses develop slowly over months to years,"Acute illnesses are sudden and short-lived, while chronic illnesses develop and worsen over extended periods",8,t,2025-10-01 20:51:55.013082
30,3,What should you do if you see another employee not following chemical handling procedures?,multiple_choice,Correct the employee or immediately notify the department leader or Safety Team,"Employee safety is paramount; correcting procedures keeps everyone safe, not to get anyone in trouble",9,t,2025-10-01 20:51:55.013082
31,3,Where should raw carbon fiber be stored?,multiple_choice,In the freezer at -1°F to 23°F,Raw carbon fiber requires freezer storage at -1°F to 23°F to maintain quality,10,t,2025-10-01 20:51:55.013082
32,4,Which of the following is a flammable material commonly found in composite manufacturing?,multiple_choice,"Epoxy resins, hardeners, and solvents like acetone","Epoxy resins, hardeners, and solvents are highly flammable and commonly used in composite manufacturing",1,t,2025-10-01 20:52:46.603572
33,4,Where should chemicals be stored to prevent fire hazards?,multiple_choice,In flammable safety cabinets with proper labels,Chemicals must be stored in designated flammable safety cabinets and properly labeled,2,t,2025-10-01 20:52:46.603572
34,4,What should you do with solvent-soaked rags?,multiple_choice,Dispose of them in approved fire-safe containers,Solvent-soaked rags can spontaneously combust and must be placed in fire-safe disposal containers,3,t,2025-10-01 20:52:46.603572
35,4,"What does the ""P"" in the PASS method stand for?",multiple_choice,Pull the pin,"PASS stands for: Pull the pin, Aim at the base, Squeeze the handle, Sweep side to side",4,t,2025-10-01 20:52:46.603572
36,4,What are the first two steps when you discover a fire?,multiple_choice,Activate the nearest fire alarm and notify supervisor/dial 911,Immediately raise the alarm by activating the pull station and notifying supervisor and emergency services,5,t,2025-10-01 20:52:46.603572
37,4,"Which type of fire extinguisher should be used for flammable liquids like resins, solvents, and paints?",multiple_choice,Class B,"Class B extinguishers are designed for flammable liquid fires including resins, solvents, and paints",6,t,2025-10-01 20:52:46.603572
